epoch,private_step,layer,side,dimension,index,eigenvalue
1,0,conv1,A,10,0,0.8597080605111738
1,0,conv1,A,10,1,1.0988980460016258
1,0,conv1,A,10,2,3.867867275399982
1,0,conv1,A,10,3,3.9862980136963713
1,0,conv1,A,10,4,8.323551643027516
1,0,conv1,A,10,5,10.183485233198628
1,0,conv1,A,10,6,10.802881740135968
1,0,conv1,A,10,7,15.30391409101442
1,0,conv1,A,10,8,15.454257525229607
1,0,conv1,A,10,9,21.92862876617806
1,0,conv1,G,2,0,56.94707452093592
1,0,conv1,G,2,1,3726.9704255304428
1,0,conv2,A,19,0,1.052359232814445
1,0,conv2,A,19,1,3.5593474696288823
1,0,conv2,A,19,2,5.581713942860213
1,0,conv2,A,19,3,6.024734384884591
1,0,conv2,A,19,4,17.234296689391297
1,0,conv2,A,19,5,20.896585636328695
1,0,conv2,A,19,6,23.280047612875144
1,0,conv2,A,19,7,39.28515167739508
1,0,conv2,A,19,8,47.66269246890862
1,0,conv2,A,19,9,70.9035169358382
1,0,conv2,A,19,10,75.64677772290256
1,0,conv2,A,19,11,89.90146433627194
1,0,conv2,A,19,12,93.30739517275063
1,0,conv2,A,19,13,98.35377160778376
1,0,conv2,A,19,14,103.50472918155705
1,0,conv2,A,19,15,106.56110908156238
1,0,conv2,A,19,16,108.44189839803161
1,0,conv2,A,19,17,114.99199106371093
1,0,conv2,A,19,18,128.19114791644222
1,0,conv2,G,2,0,92.61103763401401
1,0,conv2,G,2,1,514.6841466776864
1,0,fc1,A,99,0,0.8519237317466285
1,0,fc1,A,99,1,15.38313955638117
1,0,fc1,A,99,2,17.454112515073074
1,0,fc1,A,99,3,18.404541731967765
1,0,fc1,A,99,4,19.75609449329573
1,0,fc1,A,99,5,26.057829941274296
1,0,fc1,A,99,6,27.490838408426693
1,0,fc1,A,99,7,31.644127646549954
1,0,fc1,A,99,8,37.58368418800371
1,0,fc1,A,99,9,39.88614962932239
1,0,fc1,A,99,10,41.647429985637075
1,0,fc1,A,99,11,47.905157314889166
1,0,fc1,A,99,12,58.52349010669315
1,0,fc1,A,99,13,62.98828944316439
1,0,fc1,A,99,14,72.10632587842419
